old,new
Барнаул,Барнаул
"Барнаул,",Барнаул
Барнаул Власиха,Барнаул
Красногорское c,Красногорское
гБарнаул',Барнаул
гБийск,Бийск
Власиха Барнаул,Барнаул
поСибирский,Сибирский
Факелоциализма,Поспелиха
сКлючи,Ключи
гНовоалтайск,Новоалтайск
сВолчиха,Волчиха
Барнаул Лебяжье,Барнаул
"Г Барнаул,",Барнаул
сКосиха,Косиха
Барнаул Пригородный,Барнаул
"аил Таш-Булак,ело Ынтымак",Кыргызстан
Шипуново(Российского/с),Шипуново
Барнаул Центральный,Барнаул
Гбарнаул,Барнаул
Барнаул Казенная заимка,Барнаул
а Жаны-Куч,Кыргызстан
Научныйородок,Барнаул
Барнаул Лесной,Барнаул
Плотава,Полтава
Ггорно-Алтайск,Горно-Алтайск
сВолчиха,Волчиха
р-н Волчихинский,Волчиха
"Омск, Крутая Горка м-н",Омск
"Цюнхай, Цзяцзи",Китай
Барнаул Новомихайловка,Барнаул
сАтай,Казахстан
Барнаул Санниково,Барнаул
пЛиневский,Смоленское
"Семей, Мукур",Казахстан
Г Барнаул,Барнаул
сБуян,Крутиха
Новополтава,Ключи
поОктябрьский,Сибирский
Б-Ключи,Первомайское
сдт Заря тер,Павловск
"Казенная Заимка,",Барнаул
сЛаврентия,Чукотка
Петрапавловск,Петропавловское
Мяньянородской округ,Китай
"Семей, Восточный",Казахстан
уезд Шавань,Китай
Г Новоалтайск,Новоалтайск
"р-н Ребрихинский,Ребриха",Ребриха
Шкотовогт,Владивосток
Камень-на Оби,Камень-на-Оби
Табуны 658860,Табуны
Усть-Каменогорск,Усть-Каменогорск
Усть-Каменгогорск,Усть-Каменогорск
"Жалал-Абад, Сузак р, Комсомол",Кыргызстан
поСолнечный,Алейск
С Завьялово,Завьялово
город Барнаул,Барнаул
Наньнинородской округ,Китай
сКрасный Яр,Советское
-,Барнаул
"Славгород, Екатериновка",Славгород
сБарановка,Змеиногорск
"Дунган, Бэйцзинцзыос",Китай
Новоалтайск Новый,Новоалтайск
Село Гоньба,Барнаул
Буланихат,Зональное
сБаюновские Ключи,Первомайское
Бареаул,Барнаул
Опытноеоле,Барнаул
Опытнаят,Барнаул
"Барнаул,посЮжный",Барнаул
"Душанбе, Зарафшан",Таджикистан
бАРНАУЛ,Барнаул
"Барнаул,Борзовая Заимка,",Барнаул
"Таш-Кумыр,оШамалды-Сай",Кыргызстан
ст-ца Темнолесская,Ставрополь
сГлубокое,Завьялово
посБориха,Алейск
пПобедим,Топчиха
"Лебяжье, Барнаул",Барнаул
Карпово второе,Краснощеково
"Г 184, 58",Барнаул
селение Танги,Чита
Камень-на- Оби,Камень-на-Оби
"Барнаул,оЮжный",Барнаул
СЕльцовка,Ельцовка
Лебяжье Барнаул,Барнаул
поМехрабод,Таджикистан
барнаул Южный,Барнаул
В-Суетка,Верх-Суетка
Зимник д,Кемерово
"Барнаул,оВласиха",Барнаул
С/С Поршенев,Барнаул
"джЗайнабобод, Садокат",Таджикистан
гКемерово,Кемерово
гор ОкруЧжоукоу,Китай
поУсть-Таловка,Курья
сКытманово,Кытманово
сБобровка,Первомайское
Мочище дп,Бийск
пЗаря,Бийск
гСемей,Казахстан
"Барнаул,Южный",Барнаул
сВерх-Озерное,Быстрый Исток
СБоровиха,Первомайское
сКашкарагаиха,Тальменка
сЛипенка,Чоя
рпМалиновое озеро,Михайловское
Алейский,Алейск
Б-Енисейское,Бийск
ББуньково,Новосибирск
Барнааул,Барнаул
Барнаул Б Заимка,Барнаул
Барнаул Южный,Барнаул
Барнаул Южный,Барнаул
Барнаул ул,Барнаул
БарнаулЯгодное,Барнаул
Безменовот,Новосибирск
Березка тер,Алтайское
Бийка,Бийск
Боровой,Бийск
Будинобод,Таджикистан
Глядень-1,Благовещенка
Горно-Алтайске,Горно-Алтайск
Горно-алтайск,Горно-Алтайск
Далян,Китай
Даляньород,Китай
"Душанбе, Гиссар р-н",Таджикистан
Жесткент,Казахстан
Загайново рзд,Троицкое
Затон мкр,Барнаул
Исфана,Кыргызстан
Казенная заимка,Барнаул
"Камень-на-Оби, Плотиннаят",Камень-на-Оби
Камышинка,Завьялово
Казенная заимка,Барнаул
Красный яр,Алейск
Кургантюба,Таджикистан
Кургантюбе,Таджикистан
Майла-Суу,Кыргызстан
Майлуу-суу,Кыргызстан
Научный Городок,Барнаул
ПУрожайный,Павловск
Панкрушихат,Панкрушиха
Подсосново ул,Гальбштадт
Прудской,Павловск
Ребрихат,Ребриха
Редккая Дубрава,Гальбштадт
С Борисово,Залесово
С Бурла,Бурла
СЕЛООРОЧИЙ-лОГ,Первомайское
СЗалесово,Залесово
СКамышинка,Завьялово
Северныйроезд,Барнаул
Село Урлапово,Шипуново
Село Шипуново,Шипуново
"Семей, Западный",Казахстан
Сибирские огни,Павловск
Ситников,Баево
Сибирские огни,Павловск
