old,new
Алтайский крайБарнаулРоссия,Барнаул
Алтайский крайАлтайскоеРоссия,Алтай
Алтайский крайКалманкаРоссия,Алтай
Алтайский крайСростыРоссия,Алтай
Алтайский крайНовоалтайскРоссия,Новоалтайск
Алтайский крайТопчихаРоссия,Алтай
Алтайский крайБийскРоссия,Бийск
Алтайский крайНовые ЗориРоссия,Алтай
Восточно-Казахстанская облШемонаихаКазахстан,Казахстан
Алтайский крайКлючиРоссия,Алтай
Жалал-Абадская облЖалал-АбадКыргызстан,Кыргызстан
Алтайский крайУтянкаРоссия,Алтай
Алтайский крайБелокурихаРоссия,Алтай
Алтайский крайЗаринскРоссия,Заринск
Алтайский крайСлавгородРоссия,Славгород
Алтайский крайЧеремноеРоссия,Алтай
Павлодарская облЖелезинкаКазахстан,Казахстан
Алтайский крайКамень-на-ОбиРоссия,Камень-на-Оби
Алтай РеспУсть-КоксаРоссия,Республика
Алтайский крайТальменкаРоссия,Алтай
Алтайский крайВерх-КажаРоссия,Алтай
Восточно-Казахстанская областьУсть-Каменогорск...,Казахстан
Алтайский крайМихайловскоеРоссия,Алтай
Гуандун пров.ЦзеянКитай,Китай
Алтайский крайЯровоеРоссия,Алтай
Алтайский крайСреднесибирскийРоссия,Алтай
Алтайский крайМалиновскийРоссия,Алтай
Алтайский крайМалиновое ОзероРоссия,Алтай
Алтайский крайЧеремшанкаРоссия,Алтай
Алтайский крайНоворомановоРоссия,Алтай
Алтайский крайРакитыРоссия,Алтай
Восточно-Казахстанская облРиддерКазахстан,Казахстан
Алтай РеспКош-АгачРоссия,Республика
Алтайский крайГорнякРоссия,Алтай
провинция ЛяонинШэньянКитай,Китай
Алтайский крайСибирскийРоссия,Алтай
пр.ХэйлунцзянХарбинКитай,Китай
Алтайский крайСтароалейскоеРоссия,Алтай
Алтайский крайРомановоРоссия,Алтай
Алтайский крайРубцовскРоссия,Рубцовск
Алтайский крайЗалесовоРоссия,Алтай
Алтайский крайТроицкРоссия,Алтай
Алтайский крайНиколаевкаРоссия,Алтай
Республика АлтайКызыл-ОзекРоссия,Республика
Алтайский крайЛенькиРоссия,Алтай
Алтайский крайПервомайскоеРоссия,Алтай
Алтайский крайПокровкаРоссия,Алтай
"Алтайский крайБарнаул, Казенная заимкаРоссия",Барнаул
Восточно-Казахстанская облНовопокровкаКазахстан,Казахстан
Алтайский крайМалоенисейскоеРоссия,Алтай
Алтайский крайСмоленскоеРоссия,Алтай
Восточно-Казахстанская облЖезкентКазахстан,Казахстан
"Алтайский крайБарнаул, ЯгодноеРоссия",Барнаул
Алтайский крайКулундаРоссия,Алтай
Алтайский крайТроицкоеРоссия,Алтай
Восточно-Казахстанская областьСеребрянскКазахстан,Казахстан
Алтайский крайАлейскРоссия,Алейск
Алтайский крайсБыстрый ИстокРоссия,Алтай
Алтайский крайНенинкаРоссия,Алтай
Хатлонская облМехнатабадТаджикистан,Таджикистан
Алтайский крайНовоегорьевскоеРоссия,Алтай
Алтайский крайФунтикиРоссия,Алтай
Алайский крайБарнаулРоссия,Барнаул
Алтайский крайРебрихаРоссия,Алтай
Алтайский крайКосихаРоссия,Алтай
Республика АлтайГорно-АлтайскРоссия,Горно-Алтайск
Алтайский крайСтепное ОзероРоссия,Алтай
Республика АлтайДмитриевкаРоссия,Республика
Алтай РеспЭликмонарРоссия,Республика
"Алтайский крайБарнаул, НовомихайловкаРоссия",Барнаул
Алтайский крайКраснощековоРоссия,Алтай
Восточно-Казахстанская облУсть-КаменогорскКаза...,Казахстан
Алтайский крайБерезовкаРоссия,Алтай
Алтайский крайКонтошиноРоссия,Алтай
Алматинская облТалдыкурганКазахстан,Казахстан
Алтайский крайШипуново-2Россия,Алтай
Алтайский крайПавловскРоссия,Алтай
Алтайский крайСанниковоРоссия,Барнаул
Алтайский крайЗональноеРоссия,Алтай
Алтайский крайСтарая ТарабаРоссия,Алтай
"Алтайский крайБарнаул, ЛебяжьеРоссия",Барнаул
Алтайский крайШелаболихаРоссия,Алтай
Алтайский крайГордеевскийРоссия,Алтай
Алтай РеспМухор-ТархатаРоссия,Республика
Восточно-Казахстанская облСемейКазахстан,Казахстан
Алтайский крайБуланихаРоссия,Алтай
Южно-Казахстанская областьШымкентКазахстан,Казахстан
Хатлонская обл.ТугаракТаджикистан,Таджикистан
Алтайский крайЗудиловоРоссия,Алтай
Алтайский крайМалые БутыркиРоссия,Алтай
Алтайский крайНовомихайловкаРоссия,Барнаул
Алтайский крайНовоалексеевкаРоссия,Алтай
Алтайский крайХабарыРоссия,Алтай
Алтайский крайКрасногорскоеРоссия,Алтай
Алтайский крайКрутихаРоссия,Алтай
Алтайский крайНалобихаРоссия,Алтай
Алтайский крайБыстрый ИстокРоссия,Алтай
Республика АлтайМаймаРоссия,Республика
Алтайский крайНовая ЧемровкаРоссия,Алтай
Алтайский крайЗаречныйРоссия,Алтай
Алтайский крайЧарышскоеРоссия,Алтай
Алтай РеспТашантаРоссия,Республика
Алтайский крайгБийскРоссия,Бийск
Алтайский крайКатунскоеРоссия,Алтай
Алтайский крайКомсомольскийРоссия,Алтай
Алтайский крайНовосельскоеРоссия,Алтай
Ленинградская облСанкт-ПетербургРоссия,РФ
Алтайский крайУсть-Чарышская ПристаньРоссия,Алтай
Алтайский крайГлушинкаРоссия,Алтай
Алтайский крайСитниковоРоссия,Алтай
Республика АлтайШебалиноРоссия,Республика
Алтайский крайМаралихаРоссия,Алтай
Алтайский крайКировскийРоссия,Алтай
Алтайский крайАлтайРоссия,Алтай
Алтайский крайМамонтовоРоссия,Алтай
Акмолинская облБарнаулРоссия,Барнаул
Алтайский крайЧистюнькаРоссия,Алтай
Кемеровская облНовокузнецкРоссия,Алтай
