old,new
"Алтайский край, Барнаул",Барнаул
"Алтайский край, Алтайский р-н, Алтайское",Алтай
"Алтайский край, Калманский р-н, Калманка",Алтай
"Россия, Алтайский край, Барнаул",Барнаул
Москва,РФ
"Алтайский край, Бийск",Бийск
РКазахстан,Казахстан
Барнаул Алтайский край,Барнаул
"Алтайский край, Ключевский р-н, Ключи",Алтай
"Кыргызстан Респ, Жалал-Абад",Кыргызстан
"Алтайский край, Родинский р-н, Родино",Алтай
"Алтайский край, Поспелихинский р-н, Поспелиха",Алтай
"Алтайский край, Белокуриха",Алтай
гЗаринск,Заринск
город Славгород Алтайскогго края,Славгород
Бийск Алтайского края,Бийск
"Казахстан, Павлодарская обл, Павлодар",Казахстан
"Алтайский край, Камень-на-Оби",Камень-на-Оби
"Алтайский край, Немецкий национальный р-н, Кусак",Алтай
Усть-Кокса,Алтай
Барнаул,Барнаул
"Алтайский край, Красногорский р-н, Красногорское",Алтай
"Казахстан, Восточно-Казахстанская область, Уст...",Казахстан
"гБарнаул, Алтайский край",Барнаул
"Алтайский край, Новоалтайск",Новоалтайск
"Кемеровская обл, Прокопьевск",РФ
Каменск-Уральский,Казахстан
"КНР,ров Гуандун, Цзеси",Китай
"Алтайский край, Егорьевский р-н, Сросты",Алтай
гРубцовск,Рубцовск
"Чукотский АО, Билибино",РФ
рабпоТальменка,Алтай
"Россия, Алтайский край, Михайловский р-н",Алтай
Барнаул Алтайского края,Барнаул
"Алтайский край, Калманский р-н, Новороманово",Алтай
"Таджикистан респ, Душанбе",Таджикистан
Камень-на Оби,Камень-на-Оби
"Россия, Алтайский край, Михайловский р-н, Ракиты",Алтай
"Новосибирская область, Новосибирск",РФ
"Казахстан, Восточно-Казахстанская обл, Риддер",Казахстан
"Казахстан, Восточно-Казахстанская обл, Шемонаиха",Казахстан
"Алтайский край, Горняк",Алтай
"Китай, Учжун",Китай
"Московская обл, Москва",РФ
Китай ГШэньян,Китай
Георгия Исакова 120а,Барнаул
