old,new
Яров,Яровое
Шипун,Шипуново
Шелабо,Шелаболиха
Шебал,Шебалино
Чоя,Чоя
Чита,Чита
Чемал,Чемал
Чарыш,Чарышское
Целин,Целинное
Хакас,Хакасия
Хабары,Хабары
Хабарский,Хабары
Хабаровск,Хабаровск
Усть-Прист,Усть-Пристань
Усть-Кокс,Усть-Кокса
Усть-Кан,Усть-Кан
Калман,Калманка
узбек,Узбекистан
ферган,Узбекистан
углов,Угловское
Тюмень,Тюмень
Тюменск,Тюмень
Тюменц,Тюменцево
Туроч,Турочак
Троиц,Троицкое
топчих,Топчиха
Томск,Томск
Тогул,Тогул
Тальмен,Тальменка
Таджик,Таджикистан
Табун,Табуны
Степное Озеро,Степное Озеро
Третьяк,Староалейское
Солтон,Солтон
Солонеш,Солонешное
Совет,Советское
Смоленс,Смоленское
Славгор,Славгород
Сибирск,Сибирский
Якут,Саха-Якутия
Санни,Санниково
Санкт,Санкт-Петербург
Рубц,Рубцовск
Роман,Романово
Родин,Родино
Ребр,Ребриха
Поспел,Поспелиха
Петропавловское,Петропавловское
Петропавловский,Петропавловское
Первомай,Первомайское
Панкру,Панкрушиха
 Павловск,Павловск
Оренбург,Оренбург
Онгуд,Онгудай
Омск,Омск
Норильск,Красноярск
Новочих,Новичиха
Новосиб,Новосибирск
Новокуз,Новокузнецк
егорь,Новоегорьевское
Новоалта,Новоалтайск
Новичих,Новичиха
Москв,Москва
Москов,Москва
Химки,Москва
Монгол,Монголия
Михайлов,Михайловское
Мамонт,Мамонтово
Майм,Майма
Магадан,Магадан
Локот,Локоть
Горняк,Локоть
Кытман,Кытманово
Кыргыз,Кыргызстан
Киргиз,Кыргызстан
Кызыл,Кызыл
Курья,Курья
Курьи,Курья
Кулунд,Кулунда
Крутих,Крутиха
Краснояр,Красноярск
Краснощек,Краснощеково
Краснодар,Краснодар
Красногор,Красногорское
Агач,Кош-Агач
Косих,Косиха
Ключ,Ключи
Китай,Китай
КНР,Китай
Кемер,Кемерово
Камень,Камень-на-Оби
Каменский,Камень-на-Оби
Казахстан,Казахстан
Шемонаиха,Казахстан
Павлодар,Казахстан
Алматы,Казахстан
Семей,Казахстан
Астана,Казахстан
Алма-Ата,Казахстан
Иркутск,Иркутск
зонал,Зональное
Змеино,Змеиногорск
Зарин,Заринск
Залес,Залесово
Завьял,Завьялово
Ельцо,Ельцовка
Горняк,Горняк
Горно-,Горно-Алтайск
немец,Гальбштадт
волчих,Волчиха
Владивосток,Владивосток
Суетс,Верхняя Суетка
исток,Быстрый Исток
бурл,Бурла
благове,Благовещенка
Бийск,Бийск
Белокур,Белокуриха
Барнаул,Барнаул
Баев,Баево
Алтайское,Алтайское
Ая,Алтайское
Куяча,Алтайское
Алейск,Алейск
Алтайский край,Барнаул
Усть-Каменогорск,Казахстан
Р.Алтай,Барнаул
Барнал,Барнаул
локтев,Локоть
Чойск,Чоя
Краснощёк,Краснощеково
Белово,Кемерово
Семёновка,Кулунда
Пермс,Пермь
Улаган,Улаган
Карпово Второе,Краснощеково
Бурят,Бурятия
Семипалатинск,Казахстан
Баранул,Барнаул
Новоповалиха,Первомайское
Междуреченск,Кемерово
Нижнекаменка,Алтайское
Башкорт,Башкортостан
Чукот,Чукотка
Прокопьевск,Кемерово
Бишкек,Кыргызстан
Ставропол,Ставрополь
Франция,Франция
Усть-Таловка,Казахстан
Тыва,Тыва
Комсомольск-на-Амуре,Хабаровск
Удмурт,Удмуртия
Риддер,Казахстан
Молдов,Молдавия
Костома,Кострома
Ямало,Ямал
Северка,Ключи
Зарниск,Заринск
Урожайный,Павловск
Тугозвон,Шипуново
Полковниково,Косиха
Лесной,Барнаул
Афганистан,Афганистан
Самагалтай,Тыва
Зудилово,Первомайское
Сычевка,Смоленское
Светлово,Завьялово
Азерб,Азербайджан
Украин,Украина
Пригордное,Славгород
Чуваш,Чувашия
Усть-Ордынка,Бурятия
Красноармейский 133,Барнаул
Малахово,Косиха
Вяткино,Усть-Пристань
Камышинка,Казахстан
Алтай Респ,Барнаул
п.Кундусла,Новосибирск
Гилёво,Локоть
Садовый,Староалейское
Павловка,Угловское
Ляонин,Китай
Николаевка,Михайловское
Юрина 220,Барнаул
Усть-Кажа,Красногорское
Чаоху,Китай
"Алтайский р-он, Алтайский край",Алтайское
Лондон,Великобритания
Югра,Югра
Линёво,Смоленское
Ханты,Югра
Георгия Исакова 120а,Барнаул
Кировское,Алейск
Туркмен,Туркменистан
Приморский,Владивосток
Шатуново,Залесово
Новоандреевка,Бурла
Толстовский,Камень-на-Оби
Заковряшино,Камень-на-Оби
Краснотуранский ,Красноярск
Армения,Армения
Теленгит,Кош-Агач
Малышев Лог,Волчиха
Курчум,Казахстан
Биийск,Бийск
Синьи,Китай
Нигерия,Нигерия
Дагестан,Дагестан
Парфеново,Топчиха
Бараул,Барнаул
Куяган,Алтайское
Грязново,Тюменцево
Успенка,Локоть
Бобровка,Первомайское
Тула,Тула
Душанбе,Таджикистан
Ганджа,Азербайджан
Алтайского района АК,Алтайское
Каменск-Уральский,Екатеринбург
Зимари,Калманка
Сидоровка,Романово
Верхняя Суетка,Верхняя Суетка
Крутишка,Шелаболиха
Тобольск,Тюмень
Ереван,Армения
Маралиха,Краснощеково
Орехово.,Бурла
Журавлиха,Первомайское
Усинск,Коми
Кара-Балта,Кыргызстан
Раздольное,Родино
Бийс,Бийск
Луговое,Тальменка
Вольск,Саратов
Полевое,Гальбштадт
Чжэцзян,Китай
Барнраул,Барнаул
Каракол,Кыргызстан
Халач,Туркменистан
Бухара,Узбекистан
Селекционное,Славгород
Таловка,Змеиногорск
Кентау,Казахстан
Тобун,Табуны
Жалал-Абад,Кыргызстан
Хандань,Китай
Крым,Крым
Покровка,Первомайское
Радужный,Барнаул
Саха,Саха-Якутия
Барагаш,Шебалино
Екатеринбург,Екатеринбург
Нальчик,Нальчик
Россия,Барнаул
Сибирячиха,Солонешное
Хуросон,Таджикистан
Яготина,Благовещенка
